embedder,chunk_size,overlap,time_ms,memory_kb
Instructor,200,50,11707147.401,296.1708984375
Instructor,500,100,10573705.083,267.0849609375
Instructor,1000,200,10170664.999,257.2373046875
MiniLM,200,50,156868.951,1158.8896484375
MiniLM,500,100,149738.913,1109.77734375
MiniLM,1000,200,153510.725,1110.8818359375
MPNet,200,50,128710.104,308.462890625
MPNet,500,100,109215.872,262.05078125
MPNet,1000,200,99309.813,255.6376953125
