embedder,chunk_size,overlap,time_ms,memory_kb
Instructor,200,50,13974562.034,1586.8427734375
Instructor,500,100,12200666.837,1556.5048828125
Instructor,1000,200,11818704.741,1649.6962890625
MiniLM,200,50,97289.327,1725.4111328125
MiniLM,500,100,104935.0,1718.6552734375
MiniLM,1000,200,79890.618,1781.787109375
MPNet,200,50,112268.75,1575.201171875
MPNet,500,100,93238.998,1558.8720703125
MPNet,1000,200,90713.404,1633.08984375
